latitude,longitude,name,Temperature
22.53521389,73.18319722,45/0,low
22.53836111,73.19050833,45A/0,low
22.5409,73.19759167,45B/0,low
22.54697222,73.21231389,45C/0,low
22.54936667,73.21920833,46/0,low
22.54826111,73.22392222,46A/0,low
22.54740556,73.22659444,47/0,low
22.54671389,73.24260833,47A/0,low
22.546575,73.24635278,47B/0,low
22.54653056,73.24878611,48/0,low
22.54707778,73.253575,48A/0,low
22.5516,73.28395278,49/0,low
22.55076389,73.28615833,50/0,low
22.55129722,73.29027222,50/1,low
22.55766667,73.33425278,51/0,low
22.56055556,73.35605278,51A/0,low
22.56163611,73.38263333,52/0,low
22.56488333,73.40838889,53/0,low
22.564125,73.41045556,53A/0,low
22.558025,73.424475,54/0,low
22.56374444,73.44521111,54A/0,low
22.56424444,73.44740833,55/0,low
22.56403611,73.45158056,56/0,low
22.56274167,73.45485,57/0,low
22.56476667,73.46138611,58/0,low
22.57067222,73.465825,59/0,low
22.57118889,73.47297778,60/0,low
22.57033056,73.4748,61/0,low
22.57168889,73.4946,61/5,low
22.57203056,73.49932778,61A/0,low
22.57315556,73.51624722,62/0,low
22.57228056,73.68946389,71C/0,low
22.57259444,73.69367222,72/0,low
22.568475,73.69923611,72A/0,low
22.56691667,73.70370278,73/0,low
22.56761667,73.70988333,73A/0,low
22.56800556,73.71390556,74/0,low
22.57012778,73.72186944,74/2,low
22.57134722,73.72617222,74A/0,low
22.57245833,73.72966389,75/0,low
22.57199722,73.73573056,75A/0,low
22.57203889,73.74372222,75B/0,low
22.57250833,73.74731111,75C/0,low
